id;start_date;end_date;language
1;2019-10-03T13:29:19;2019-10-03T06:37:36;FRENCH
2;2019-10-03T14:59:25;2019-10-03T00:05:35;SPANISH
3;2019-10-03T10:31:29;2019-10-03T01:55:29;SPANISH
4;2019-10-02T23:43:21;2019-10-03T07:10:22;FRENCH
5;2019-10-03T08:42:00;2019-10-03T13:26:08;ENGLISH
6;2019-10-03T14:59:00;2019-10-03T16:15:56;FRENCH
7;2019-10-03T00:21:20;2019-10-03T13:02:07;ENGLISH
8;2019-10-02T21:52:39;2019-10-03T05:52:48;FRENCH
9;2019-10-03T07:40:45;2019-10-03T16:05:23;SPANISH
10;2019-10-03T10:58:54;2019-10-03T08:15:09;SPANISH
